,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
20180102,002912.SZ,600519.SH,601360.SH,300730.SZ,002920.SZ,600486.SH,603737.SH,300706.SZ,002919.SZ,002915.SZ,603833.SH,002917.SZ,300729.SZ,601799.SH,002879.SZ,300450.SZ,002864.SZ,600585.SH,601318.SH,002760.SZ,300677.SZ,300616.SZ,300554.SZ,600436.SH,603579.SH,601233.SH,300700.SZ,000703.SZ,300451.SZ,603180.SH,002833.SZ,300732.SZ,002921.SZ,002709.SZ,000786.SZ,603619.SH,603963.SH,002001.SZ,002271.SZ,300577.SZ,002907.SZ,002179.SZ,002893.SZ,002372.SZ,002922.SZ,300371.SZ,300536.SZ,603757.SH,002856.SZ,600885.SH
20180103,600519.SH,300618.SZ,603799.SH,603080.SH,603444.SH,601360.SH,002883.SZ,300461.SZ,002919.SZ,300409.SZ,300500.SZ,002466.SZ,300396.SZ,300450.SZ,300677.SZ,300675.SZ,300136.SZ,002460.SZ,603903.SH,601888.SH,600345.SH,600258.SH,000963.SZ,002809.SZ,000923.SZ,002921.SZ,000661.SZ,603603.SH,002384.SZ,300433.SZ,000856.SZ,002049.SZ,603050.SH,600754.SH,600487.SH,300649.SZ,300137.SZ,002922.SZ,300648.SZ,300699.SZ,600340.SH,300456.SZ,600903.SH,000513.SZ,600230.SH,603595.SH,600885.SH,000605.SZ,300616.SZ,603160.SH
20180104,600519.SH,300618.SZ,002916.SZ,300725.SZ,603444.SH,002304.SZ,601360.SH,002883.SZ,300409.SZ,603180.SH,603501.SH,603225.SH,603619.SH,603716.SH,300675.SZ,600516.SH,000513.SZ,300666.SZ,603833.SH,603612.SH,603799.SH,002352.SZ,002921.SZ,603801.SH,603288.SH,000568.SZ,603039.SH,603183.SH,300191.SZ,000856.SZ,000732.SZ,600848.SH,600809.SH,002922.SZ,603648.SH,002825.SZ,000858.SZ,000049.SZ,600436.SH,600760.SH,603080.SH,600663.SH,002625.SZ,300436.SZ,603329.SH,300009.SZ,601233.SH,002462.SZ,603283.SH,300735.SZ
20180105,300618.SZ,002923.SZ,603161.SH,002883.SZ,300725.SZ,300616.SZ,300730.SZ,300468.SZ,300176.SZ,600600.SH,603619.SH,300664.SZ,603180.SH,002034.SZ,300732.SZ,300675.SZ,601100.SH,002921.SZ,002745.SZ,603040.SH,000732.SZ,603612.SH,002922.SZ,603458.SH,002907.SZ,603080.SH,603444.SH,603329.SH,002304.SZ,002796.SZ,600763.SH,603283.SH,300735.SZ,300684.SZ,300693.SZ,300015.SZ,300642.SZ,002915.SZ,300677.SZ,000002.SZ,300676.SZ,300003.SZ,300705.SZ,603866.SH,300409.SZ,002749.SZ,300678.SZ,000635.SZ,000869.SZ,300630.SZ
20180108,300618.SZ,600519.SH,603444.SH,002916.SZ,002714.SZ,603260.SH,002920.SZ,603039.SH,603595.SH,603337.SH,002813.SZ,002915.SZ,002304.SZ,300483.SZ,603799.SH,603579.SH,002864.SZ,300717.SZ,300542.SZ,002921.SZ,300478.SZ,600340.SH,002892.SZ,000732.SZ,600230.SH,603816.SH,300468.SZ,002922.SZ,300716.SZ,603833.SH,002356.SZ,300176.SZ,002923.SZ,603900.SH,300713.SZ,300722.SZ,002907.SZ,603161.SH,603080.SH,300431.SZ,002851.SZ,603127.SH,002906.SZ,002110.SZ,603160.SH,603329.SH,300675.SZ,603619.SH,603186.SH,002913.SZ
20180109,600519.SH,300725.SZ,002912.SZ,300736.SZ,000418.SZ,002876.SZ,300567.SZ,002304.SZ,300657.SZ,300577.SZ,000661.SZ,000858.SZ,002915.SZ,300723.SZ,002864.SZ,600276.SH,002921.SZ,603607.SH,002008.SZ,600436.SH,002922.SZ,300702.SZ,002760.SZ,002911.SZ,002893.SZ,002923.SZ,300558.SZ,603161.SH,002907.SZ,300122.SZ,603711.SH,603080.SH,300308.SZ,002906.SZ,603322.SH,603329.SH,300732.SZ,603896.SH,000538.SZ,603589.SH,603283.SH,300735.SZ,002287.SZ,300684.SZ,002901.SZ,300621.SZ,603083.SH,002120.SZ,603320.SH,300703.SZ
20180110,300176.SZ,300618.SZ,002304.SZ,300468.SZ,300602.SZ,603138.SH,300730.SZ,603989.SH,300723.SZ,300483.SZ,002921.SZ,603039.SH,600570.SH,300542.SZ,600519.SH,002922.SZ,002893.SZ,002923.SZ,300365.SZ,002907.SZ,603161.SH,603080.SH,603881.SH,300679.SZ,000858.SZ,603729.SH,300736.SZ,002916.SZ,603329.SH,603283.SH,300735.SZ,300541.SZ,300684.SZ,300609.SZ,300725.SZ,603320.SH,603589.SH,300473.SZ,002918.SZ,300663.SZ,603711.SH,002779.SZ,300579.SZ,600903.SH,600760.SH,300308.SZ,000681.SZ,300685.SZ,300386.SZ,300507.SZ
20180111,603444.SH,000661.SZ,002230.SZ,002912.SZ,002842.SZ,300676.SZ,300672.SZ,002919.SZ,300542.SZ,603096.SH,300572.SZ,603083.SH,603286.SH,002893.SZ,002923.SZ,603088.SH,603161.SH,002907.SZ,300612.SZ,603080.SH,002908.SZ,300736.SZ,603329.SH,300450.SZ,600570.SH,603283.SH,603138.SH,300684.SZ,300711.SZ,300401.SZ,002903.SZ,002847.SZ,603912.SH,002657.SZ,603106.SH,300698.SZ,300662.SZ,300663.SZ,300508.SZ,600763.SH,300595.SZ,002831.SZ,300462.SZ,002898.SZ,600903.SH,000938.SZ,300541.SZ,300468.SZ,300701.SZ,600345.SH
20180112,600519.SH,300685.SZ,603444.SH,000661.SZ,603833.SH,002873.SZ,300542.SZ,002001.SZ,300709.SZ,002923.SZ,300676.SZ,300612.SZ,603080.SH,002908.SZ,000858.SZ,300561.SZ,300736.SZ,603283.SH,300684.SZ,300725.SZ,000513.SZ,300663.SZ,603466.SH,000651.SZ,300547.SZ,600903.SH,002508.SZ,300642.SZ,002117.SZ,603683.SH,603655.SH,603357.SH,300482.SZ,300630.SZ,300664.SZ,002760.SZ,603898.SH,603829.SH,000935.SZ,603386.SH,002382.SZ,601318.SH,600749.SH,002594.SZ,603161.SH,002294.SZ,600196.SH,002626.SZ,603183.SH,600702.SH
20180115,002925.SZ,603833.SH,300542.SZ,603619.SH,300616.SZ,002923.SZ,300612.SZ,603080.SH,000513.SZ,300736.SZ,002907.SZ,300684.SZ,600779.SH,601318.SH,000732.SZ,300723.SZ,601336.SH,002911.SZ,300727.SZ,300663.SZ,603110.SH,600903.SH,300584.SZ,300346.SZ,002895.SZ,002893.SZ,300176.SZ,603683.SH,603655.SH,600754.SH,601601.SH,300664.SZ,600809.SH,002856.SZ,300601.SZ,603289.SH,300487.SZ,601888.SH,000568.SZ,600009.SH,002921.SZ,002032.SZ,000002.SZ,603180.SH,300007.SZ,300715.SZ,603868.SH,002530.SZ,000401.SZ,002828.SZ
